Latitude,Longitude,Location,Postcode
51.500055222097004, -0.14245632374599465, Buckingham Palace, SW1A 1AA
51.501979672122694, -0.14066491311987123, Victoria Memorial, SW1A 1AA
51.50817995845843, -0.07599491402372913, Tower Of London, EC3N 4AB
51.50330011193344, -0.11955530117570592, London Eye, SE1 7PB 
51.51526336281353, -0.14202961119913982, Oxford St, W1C 2AD
51.53530095561548, -0.15344227769233088, ZLS London Zoo, NW1 4RY
51.51944922601933, -0.12695240026074883, The British Museum, WC1B 3DG
51.51385528502696, -0.09835516498817856, St Paul's Cathedral, EC4M 8AD
51.50804465729318, -0.12806666801397698, Trafalgar Square, WC2N 5DN
51.50726896787186, -0.16573650070372886, Hyde Park, W2 2UH
51.53940785738255, -0.1429964081072452, Camden Town, NW1 8AF
51.50498877181122, -0.1876708440500775, Kensington Palace, W8 4PX
51.51529926181175, -0.132066348920921, Soho, W1D 3QP
51.405107205019675, -0.51239222890427, Thorpe Park, KT16 8PN
51.50306559986578, 0.003140516775450182, The O2, SE10 0DX
51.54408230846465, -0.005315920380330334, Westfield Stratford City, E20 1EJ
51.50772796373829, 0.017983081541493712, London Air Cable, E16 1FA
51.499374002189874, -0.12729916830445911, Westminister Abbey, SW1P 3PA
51.50155921274556, -0.11950288421442963, SEA LIFE London Aquarium, SE1 7PB
51.50453624093765, -0.08650231312600798, The Shard, SE1 9SG
51.5078922813742, -0.08773400252589074, London Bridge, SE1 9BG
51.55606160442197, -0.2796228895324204, Wembley, HA9 0WS
51.690151473843315, -0.4180296229285414, Warner Bros Studios, WD25 7LP
51.50073539128856, -0.12462512400420869, Big Ben, SW1A 0AA
51.5009077760681, -0.12197761712644566, Westminister Bridge, SE10
51.502518055462595, -0.11876198227016814, London Dungeon, SE1 7PB
51.50846787874347, 0.029847681655522845, ExCeL London, E16 1XL
51.59406303869797, -0.12976147674251548, Alexandra Palace, N22 7AY
51.47691238656729, 0.0014616068160234863, Greenwich Park, SE10 8QY
51.478750461476885, -0.29557564453120005, Royal Botanic Garden, TW9 3AQ
51.59785484410386, -0.23809177269444462, Royal Air Force Museum, NW9 5LL
51.49671947285959, -0.17636877999210285, Natural History Museum, SW7 5BD
51.49722149610794, -0.17672859031717716, Science Museum, SW7 2DD
51.495815623002564, -0.13943964241913215, Westminister Cathedral, SW1P 1LT
51.496645167353556, -0.17218132396157115, Victoria and Albert Museum, SW7 2RL
51.52997632323357, -0.12767580826153344, The British Library, NW1 2DB
51.47912135520882, -0.15649584355311869, Battersea Park, SW11 4NJ
51.50658955938784, -0.08138950420255281, HMS Belfast, SE1 2JH
51.44118710978618, -0.2745303464760553, Richmond Park, TW10 5HS
51.50807797734825, -0.09719541996099229, Shakespeare's Globe, SE1 9DT
51.50760114175338, -0.09935371792249355, Tate Modern, SE1 9TG
51.511800293588244, -0.13111514552852757, Chinatown, W1D 5PT
51.60424587598111, -0.06621404024929946, Tottenham Hotspur Stadium, N17 0BX
51.50893511252527, -0.1282998317475475, The National Gallery, WC2N 5DN
51.51302849452085, -0.12417012310323869, Covent Garden, WC2E 8BU
51.50497872390556, -0.020591892225386304, Canary Wharf, E14 5AB
51.511259167607264, -0.0835501293036821, Sky Garden, EC3M 8AF
51.48213849573587, -0.1306266350939968, Embassy Gardens, SW11 7AY
51.510122835857835, -0.13416749828147093, Piccadilly Circus, WIJ 9HP
51.31339845648925, -0.2545598119341587, Epsom Downs Racecourse, KT18 5LQ
51.5610236729086, -0.16291355278063233, Hampstead Heath, NW3
51.57645385320445, -0.22311663045765603, Brent Cross Shopping Centre, NW4 3FP
51.74438267102395, -0.06259748260548653, Paradise Wildlife Park, EN10 7QA
51.52198961910502, -0.08228359305237216, Shoreditch Crazy Golf, EC2A 2BE
51.52169687786929, -0.2768635053631205, Oxygen Trampoline Park, W3 0AF
51.419221085855824, -0.2014802168641353, New Wimbeldon Theatre, SW19 1QG
51.465663976641146, -0.11498410298076574, O2 Academy Brixton, SW9 9SL
51.44107954792239, -0.06129420321096774, Horniman Museum and Gardens, SE23 3PQ
51.48286771372812, -0.009593592492232938, Cutty Sark, SE10 9HT
51.481583953740724, -0.00903690802328947, Greenwich Market, SE10 9HZ
51.4832115355274, -0.005916201036481361, Old Royal Naval College, SE10 9NN
51.49940848844053, -0.16323521793755486, Harrods, SW1X 7XL
51.514494925985026, -0.08030797577952695, The Gherkin, EC3A 8BF
51.52302259120471, -0.15435975215045536, Madame Tussauds London, NW1 5LR
51.502553178497, -0.13481090162429282, St James's Park, SW1H 9AP
51.48101727615312, -0.0052243135042994646, National Maritime Museum, SE10 9NF
51.42212835041675, -0.07093497279115422, Crystal Palace Park, SE19 2GA
51.347238644706835, -0.31921312739961044, Chessington World of Adventures Resort, KT9 2NE
51.57139933468138, -0.16745779519165227, Kenwood, NW3 7JR
51.47662066709806, -0.23548935929556986, WWT London Wetland Centre, SW13 9WT 
51.47925448160552, -0.15650883046020309, Battersea Park, SW11 4NJ
51.49990696299818, -0.200245866443165, The Design Museum, W8 6AG
51.50499305808016, -0.1876792725187616, Kensington Palace, W8 4PX
51.438164315884706, -0.20930788813186407, Wimbeldon, SW19 8AU
51.538431824588606, -0.012833472788058214, ArcelorMittal Orbit, E20 2AD
51.538715369029156, -0.016598376111078027, London Stadium, E20 2ST
51.53129480369602, -0.156964601258252, The Regent's Park, NW1 4NR
51.53224445796875, -0.12402759927194222, The Harry Potter Shop at Platform 9¾, N1 9AP
51.60397154304055, -0.17271383045692332, Hollywood Bowl, N12 0GL
51.55498854169399, -0.10843800162291405, Emirates Stadium, N7 7AJ
51.49855328670279, -0.09840960162442051, Mercato Metropolitano, SE1 6DR
